Rank,Acronym,Model_label,Publication name,Input vars,Predictor,Full-fit Coef,Boot Mean Coef,Boot SD,95% CI,Sel Freq
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,Age,-32.46,-32.68,6.55,"[-45.10, -20.00]",100%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,BBS1,+78.31,+77.72,10.98,"[57.21, 98.78]",100%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,BBS_T1T2_Change,+33.20,+32.51,7.95,"[17.14, 48.24]",100%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,BI_T1T2_Change,-9.54,-10.27,8.06,"[-27.60, 0.28]",90%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,EuroQoL5D1,+25.19,+24.16,8.19,"[9.05, 41.29]",100%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,EuroQoL5D_T1T2_Change,+15.40,+14.08,7.54,"[0.00, 29.30]",96%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,FOIS_T1T2_Change,+1.42,+3.50,6.86,"[-8.42, 19.73]",76%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,FuglSEN1,-4.51,-4.67,5.58,"[-16.48, 4.58]",83%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,FuglSEN_T1T2_Change,-5.05,-5.89,5.36,"[-17.09, 3.03]",89%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,FuglUE1,+27.50,+27.72,8.43,"[11.02, 43.70]",100%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,FuglUE_T1T2_Change,+14.24,+13.52,6.23,"[0.24, 25.45]",98%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,Gait_Speed_1_Imputed,+35.32,+35.60,9.03,"[18.88, 54.17]",100%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,IADL1,-0.00,+0.46,5.92,"[-10.61, 13.35]",77%
1,RESTORE,Model 5,REhabilitation STroke Outcome Recovery Estimator,21,IADL_T1T2_Change,+14.97,+14.76,6.54,"[1.88, 27.87]",99%
