,,,ID,Initial_6MWT_Distance,,,,,6MWT_P1_Change,,,,,6MWT_P2_Change,,,,,6MWT_P3_Change,,,,
,,,count,mean,median,iqr_range,ci_95,valid_count,mean,median,iqr_range,ci_95,valid_count,mean,median,iqr_range,ci_95,valid_count,mean,median,iqr_range,ci_95,valid_count
Rehab_LOS_Category,PAC_Program_Completion,First_6MWT_TP,,,,,,,,,,,,,,,,,,,,,
21-42 days,Completed PAC program,Never,20,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,129,242.1945736,250,(125.0-352.8),22.50984309,129,100.6063793,77.5,(34.6-155.0),16.07483064,116,58.26973913,45.5,(16.8-87.0),11.6459922,115,,,(nan-nan),,0
,,T2,38,182.0657895,141.55,(89.0-256.4),41.30336219,38,55.91052632,35.05,(11.0-108.5),22.85915088,38,,,(nan-nan),,0,,,(nan-nan),,0
,,T4,20,178.575,124,(56.8-275.2),67.32024291,20,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,Did not complete PAC program,Never,6,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,5,144.2,132,(116.0-180.0),92.99391929,5,38.9,27.5,(12.9-53.5),62.65810333,4,,,(nan-nan),,0,,,(nan-nan),,0
,,T2,1,64,64,(64.0-64.0),,1,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
<=21 days,Completed PAC program,Never,10,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,40,290.4425,268.3,(209.5-335.7),37.98088845,40,109.405,96.8,(35.2-143.0),30.93395649,40,,,(nan-nan),,0,,,(nan-nan),,0
,,T4,15,194.7466667,138.3,(88.5-282.0),79.38839217,15,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,Did not complete PAC program,Never,26,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,11,273.3545455,290,(101.3-387.9),118.542509,11,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
>42 days,Completed PAC program,Never,30,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,108,218.1444444,212,(118.9-294.2),23.62398121,108,89.11759259,67.5,(33.9-142.5),14.34849731,108,34.78190476,21.3,(5.0-58.8),13.25859389,105,64.91721154,44.05,(10.8-95.5),18.13013482,104
,,T2,82,167.9768293,151.35,(92.0-233.6),21.89808978,82,64.3525,45.5,(14.8-96.8),15.43649697,80,79.34050633,61,(27.0-124.2),17.58656489,79,,,(nan-nan),,0
,,T3,48,113.4291667,94,(52.2-160.9),24.24865477,48,78.92608696,51.4,(7.9-128.4),25.92766259,46,,,(nan-nan),,0,,,(nan-nan),,0
,,T4,37,128.2972973,90,(42.0-158.0),40.43243232,37,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,Did not complete PAC program,Never,1,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,3,176.6666667,230,(147.5-232.5),240.311704,3,20.5,20.5,(20.2-20.8),6.353102368,2,32,32,(28.0-36.0),101.6496379,2,,,(nan-nan),,0
,,T2,3,68.66666667,59,(44.5-88.0),110.042908,3,115.2,115.2,(87.3-143.1),709.0062243,2,,,(nan-nan),,0,,,(nan-nan),,0
