,,,ID,Initial_6MWT_Distance,,,,,6MWT_P1_Change,,,,,6MWT_P2_Change,,,,,6MWT_P3_Change,,,,
,,,count,mean,median,iqr_range,ci_95,valid_count,mean,median,iqr_range,ci_95,valid_count,mean,median,iqr_range,ci_95,valid_count,mean,median,iqr_range,ci_95,valid_count
Rehab_LOS_Category,PAC_Program_Completion,First_6MWT_TP,,,,,,,,,,,,,,,,,,,,,
21-42 days,Completed PAC program,Never,20,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T1,127,240.93937007874015,247.2,(124.3-356.4),(218.4-263.5),127,100.9768695652174,80.0,(34.2-155.0),(84.9-117.0),115,58.269739130434786,45.5,(16.8-87.0),(46.7-69.8),115,,,(nan-nan),(nan-nan),0
,,T2,38,182.06578947368422,141.55,(89.0-256.4),(142.1-222.0),38,55.91052631578948,35.05,(11.0-108.5),(33.8-78.0),38,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T4,20,178.575,124.0,(56.8-275.2),(115.5-241.6),20,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,Did not complete PAC program,Never,6,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T1,5,144.2,132.0,(116.0-180.0),(78.6-209.8),5,38.9,27.5,(12.9-53.5),(0.3-77.5),4,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T2,1,64.0,64.0,(64.0-64.0),(nan-nan),1,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
<=21 days,Completed PAC program,Never,10,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T1,40,290.4425,268.3,(209.5-335.7),(253.6-327.2),40,109.40500000000002,96.80000000000001,(35.2-143.0),(79.4-139.4),40,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T4,15,194.74666666666664,138.3,(88.5-282.0),(122.2-267.3),15,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,Did not complete PAC program,Never,26,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T1,11,273.3545454545454,290.0,(101.3-387.9),(169.1-377.6),11,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
>42 days,Completed PAC program,Never,30,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T1,106,220.92075471698115,219.0,(120.1-294.8),(197.4-244.4),106,90.32735849056604,68.7,(36.7-145.5),(76.0-104.7),106,35.09805825242719,21.30000000000001,(5.6-58.8),(21.8-48.4),103,65.46980582524272,44.09999999999997,(11.4-97.0),(47.4-83.5),103
,,T2,81,169.54814814814816,153.0,(98.0-238.0),(147.9-191.2),81,65.46708860759493,48.0,(15.6-97.5),(50.2-80.8),79,79.0493670886076,61.0,(27.0-124.2),(61.7-96.4),79,,,(nan-nan),(nan-nan),0
,,T3,47,110.84255319148937,86.0,(51.5-153.5),(87.2-134.5),47,77.52340425531915,46.0,(8.8-126.8),(52.7-102.4),47,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T4,37,128.2972972972973,90.0,(42.0-158.0),(89.2-167.4),37,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,Did not complete PAC program,Never,1,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
,,T1,3,176.66666666666666,230.0,(147.5-232.5),(67.2-286.1),3,20.5,20.5,(20.2-20.8),(19.5-21.5),2,32.0,32.0,(28.0-36.0),(16.3-47.7),2,,,(nan-nan),(nan-nan),0
,,T2,3,68.66666666666667,59.0,(44.5-88.0),(18.5-118.8),3,115.2,115.2,(87.3-143.1),(5.8-224.6),2,,,(nan-nan),(nan-nan),0,,,(nan-nan),(nan-nan),0
