,,,ID,Initial_GS,,,,,GS_P1_Change,,,,,GS_P2_Change,,,,,GS_P3_Change,,,,
,,,count,mean,median,<lambda_0>,ci_95,Valid_Count,mean,median,<lambda_0>,ci_95,Valid_Count,mean,median,<lambda_0>,ci_95,Valid_Count,mean,median,<lambda_0>,ci_95,Valid_Count
Rehab_LOS_Category,PAC_Program_Completion,First_Walk_TP,,,,,,,,,,,,,,,,,,,,,
21-42 days,Completed PAC program,Never,18,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,138,0.564723832,0.538504367,(0.38-0.74),0.045459622,138,0.181104539,0.126271979,(0.07-0.29),0.035378768,125,0.142694844,0.082295052,(0.02-0.21),0.031769449,124,,,(nan-nan),,0
,,T2,34,0.389846361,0.345238095,(0.18-0.47),0.098211945,34,0.26401529,0.087419995,(0.03-0.24),0.238291271,34,,,(nan-nan),,0,,,(nan-nan),,0
,,T4,17,0.469168872,0.5,(0.18-0.71),0.158366334,17,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,Did not complete PAC program,Never,4,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,6,0.368188448,0.297054841,(0.23-0.53),0.203864065,6,0.031977483,0.021428571,(0.02-0.04),0.037401826,5,,,(nan-nan),,0,,,(nan-nan),,0
,,T2,2,0.119944932,0.119944932,(0.10-0.14),0.430755865,2,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
<=21 days,Completed PAC program,Never,8,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,44,0.669401445,0.625,(0.50-0.85),0.08698844,44,0.211150326,0.148826346,(0.05-0.31),0.072012757,44,,,(nan-nan),,0,,,(nan-nan),,0
,,T4,13,0.528359634,0.454545455,(0.30-0.71),0.179820869,13,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,Did not complete PAC program,Never,23,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,14,0.566849002,0.600236669,(0.27-0.75),0.199019561,14,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
>42 days,Completed PAC program,Never,23,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,119,0.485098124,0.449236298,(0.29-0.65),0.046712422,119,0.180560669,0.119682078,(0.04-0.30),0.034512167,119,0.098039012,0.05161633,(0.01-0.13),0.026237498,116,0.088928015,0.079365079,(0.01-0.18),0.036621852,115
,,T2,87,0.398919735,0.357142857,(0.24-0.50),0.047624959,87,0.117297783,0.057592924,(0.02-0.14),0.035000037,86,0.129427538,0.097381377,(0.02-0.20),0.031795495,86,,,(nan-nan),,0
,,T3,43,0.279195817,0.256410256,(0.13-0.38),0.052115445,43,0.197092095,0.123534591,(0.06-0.27),0.071065446,41,,,(nan-nan),,0,,,(nan-nan),,0
,,T4,33,0.335566113,0.329597891,(0.17-0.42),0.069026812,33,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,Did not complete PAC program,Never,1,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0,,,(nan-nan),,0
,,T1,4,0.537728733,0.605742297,(0.39-0.75),0.485130507,4,0.082148591,0.023809524,(0.02-0.11),0.254306805,3,0.10970511,0.055555556,(0.03-0.16),0.33194034,3,,,(nan-nan),,0
,,T2,2,0.338888889,0.338888889,(0.31-0.37),0.776490289,2,0.126315789,0.126315789,(0.13-0.13),,1,,,(nan-nan),,0,,,(nan-nan),,0
