covariate,SMD_pre,SMD_post
Age,0.186,0.03
"Sex, F0 M1",0.157,0.001
Pneumonia,0.015,0.005
UTI,0.216,0.017
GIB,0.156,0.011
Cellulitis,0.188,0.004
StrokeInEvolution,0.045,0.0
tPA,0.131,0.0
IA,0.018,0.001
tPAIA,0.141,0.006
Neurology_LOS,0.266,0.009
Dissection,0.215,0.005
ACA,0.115,0.009
Undetermined,0.146,0.003
LVS,0.201,0.006
LVO,0.031,0.002
Side_Right,0.091,0.006
Side_Left,0.009,0.003
Side_Bilateral,0.161,0.007
Loc_CortSub,0.246,0.008
Loc_Subcortical,0.173,0.007
Loc_Infratentorial,0.05,0.001
AF,0.203,0.008
DM,0.351,0.011
HTN,0.071,0.008
Dyslipidemia,0.083,0.0
CAD,0.131,0.001
CKD,0.244,0.006
RestrictiveLung,0.246,0.002
GIUlcer,0.147,0.018
LiverCirrhosis,0.099,0.001
Hepatitis,0.056,0.001
Parkinsonism,0.168,0.002
Malignancy,0.113,0.005
OldStroke,0.203,0.009
Dementia,0.056,0.002
Psychiatric,0.046,0.003
Gout,0.088,0.0
ConsIn,0.148,0.001
AnswerIn,0.181,0.009
OrderIn,0.185,0.006
EOMIn,0.154,0.007
VisualIn,0.036,0.005
FaceIn,0.258,0.005
LUIn,0.014,0.006
RUIn,0.084,0.002
LLIn,0.111,0.001
RLIn,0.131,0.005
CoordinateIn,0.027,0.002
SensoryIn,0.419,0.013
LanguageIn,0.062,0.002
ArticulateIn,0.099,0.003
NeglectIn,0.167,0.005
MRS1,0.119,0.005
BI1,0.217,0.011
FOIS1,0.037,0.004
MNA1,0.111,0.001
EuroQoL5D1,0.023,0.001
IADL1,0.321,0.012
BBS1,0.523,0.022
FuglUE1,0.285,0.009
FuglSEN1,0.519,0.023
CCAT1,0.542,0.042
Initial_6MWT_Distance,0.126,0.007
Initial_GS,0.112,0.01
