covariate,SMD_pre,SMD_post
Age,0.186,0.03
"Sex, F0 M1",0.157,0.0
Pneumonia,0.015,0.005
UTI,0.216,0.018
GIB,0.156,0.01
Cellulitis,0.188,0.004
StrokeInEvolution,0.045,0.001
tPA,0.131,0.001
IA,0.018,0.0
tPAIA,0.141,0.009
Neurology_LOS,0.266,0.008
Dissection,0.215,0.005
ACA,0.115,0.01
Undetermined,0.146,0.003
LVS,0.201,0.006
LVO,0.031,0.003
Side_Right,0.091,0.007
Side_Left,0.009,0.003
Side_Bilateral,0.161,0.009
Loc_CortSub,0.246,0.007
Loc_Subcortical,0.173,0.008
Loc_Infratentorial,0.05,0.002
AF,0.203,0.005
DM,0.351,0.013
HTN,0.071,0.008
Dyslipidemia,0.083,0.001
CAD,0.131,0.001
CKD,0.244,0.008
RestrictiveLung,0.246,0.002
GIUlcer,0.147,0.019
LiverCirrhosis,0.099,0.001
Hepatitis,0.056,0.0
Parkinsonism,0.168,0.002
Malignancy,0.113,0.005
OldStroke,0.203,0.01
Dementia,0.056,0.002
Psychiatric,0.046,0.003
Gout,0.088,0.002
ConsIn,0.148,0.002
AnswerIn,0.181,0.006
OrderIn,0.185,0.003
EOMIn,0.154,0.007
VisualIn,0.036,0.004
FaceIn,0.258,0.005
LUIn,0.014,0.006
RUIn,0.084,0.001
LLIn,0.111,0.001
RLIn,0.131,0.005
CoordinateIn,0.027,0.0
SensoryIn,0.419,0.013
LanguageIn,0.062,0.0
ArticulateIn,0.099,0.003
NeglectIn,0.167,0.006
MRS1,0.119,0.006
BI1,0.217,0.013
FOIS1,0.037,0.004
MNA1,0.111,0.001
EuroQoL5D1,0.023,0.001
IADL1,0.321,0.011
BBS1,0.523,0.024
FuglUE1,0.285,0.01
FuglSEN1,0.519,0.023
CCAT1,0.542,0.042
6MWT1,0.273,0.014
Gait_Speed_1,0.201,0.014
