covariate,SMD_pre,SMD_post
Age,0.186,0.028
"Sex, F0 M1",0.157,0.003
Pneumonia,0.015,0.009
UTI,0.216,0.013
GIB,0.156,0.005
Cellulitis,0.188,0.004
StrokeInEvolution,0.045,0.0
tPA,0.131,0.0
IA,0.018,0.001
tPAIA,0.141,0.004
Neurology_LOS,0.266,0.008
Dissection,0.215,0.005
ACA,0.115,0.005
Undetermined,0.146,0.002
LVS,0.201,0.008
LVO,0.031,0.002
Side_Right,0.091,0.006
Side_Left,0.009,0.005
Side_Bilateral,0.161,0.003
Loc_CortSub,0.246,0.006
Loc_Subcortical,0.173,0.006
Loc_Infratentorial,0.05,0.001
AF,0.203,0.007
DM,0.351,0.006
HTN,0.071,0.008
Dyslipidemia,0.083,0.006
CAD,0.131,0.001
CKD,0.244,0.007
RestrictiveLung,0.246,0.002
GIUlcer,0.147,0.008
LiverCirrhosis,0.099,0.006
Hepatitis,0.056,0.002
Parkinsonism,0.168,0.002
Malignancy,0.113,0.003
OldStroke,0.203,0.007
Dementia,0.056,0.002
Psychiatric,0.046,0.001
Gout,0.088,0.001
ConsOut,0.223,0.003
AnswerOut,0.265,0.019
OrderOut,0.054,0.01
EOMOut,0.094,0.004
VisualOut,0.152,0.002
LUOut,0.011,0.006
RUOut,0.209,0.009
LLOut,0.054,0.001
RLOut,0.202,0.009
SensoryOut,0.436,0.014
LanguageOut,0.001,0.004
ArticulateOut,0.197,0.004
NeglectOut,0.061,0.003
MRS1,0.119,0.008
BI1,0.217,0.013
FOIS1,0.037,0.006
MNA1,0.111,0.0
EuroQoL5D1,0.023,0.002
IADL1,0.321,0.014
BBS1,0.523,0.023
FuglUE1,0.285,0.011
FuglSEN1,0.519,0.022
CCAT1,0.542,0.044
Initial_6MWT_Distance,0.126,0.006
Initial_GS,0.112,0.009
