covariate,SMD_pre,SMD_post
Age,0.185777,0.028522
"Sex, F0 M1",0.156671,0.002761
Pneumonia,0.014927,0.009522
UTI,0.216100,0.011782
GIB,0.155685,0.002779
Cellulitis,0.187812,0.003415
StrokeInEvolution,0.044628,0.000015
tPA,0.131139,0.000910
IA,0.017617,0.001586
tPAIA,0.141436,0.005197
Neurology_LOS,0.265981,0.005613
Dissection,0.214707,0.004381
ACA,0.114594,0.005251
Undetermined,0.145935,0.002721
LVS,0.200571,0.006824
LVO,0.031001,0.001766
Side_Right,0.091092,0.006407
Side_Left,0.008666,0.004503
Side_Bilateral,0.161438,0.004240
Loc_CortSub,0.246471,0.004615
Loc_Subcortical,0.173244,0.005629
Loc_Infratentorial,0.050327,0.002020
AF,0.202526,0.004477
DM,0.350576,0.008765
HTN,0.070829,0.008895
Dyslipidemia,0.082698,0.005098
CAD,0.131039,0.000097
CKD,0.243725,0.004892
RestrictiveLung,0.246403,0.001499
GIUlcer,0.146650,0.007146
LiverCirrhosis,0.098862,0.006618
Hepatitis,0.056218,0.002858
Parkinsonism,0.167689,0.001576
Malignancy,0.112763,0.002954
OldStroke,0.203379,0.008143
Dementia,0.055601,0.001969
Psychiatric,0.045571,0.002212
Gout,0.087666,0.001782
ConsOut,0.223010,0.003024
AnswerOut,0.265132,0.017104
OrderOut,0.054279,0.010267
EOMOut,0.094321,0.003581
VisualOut,0.151623,0.002095
LUOut,0.011348,0.006866
RUOut,0.209310,0.008688
LLOut,0.053981,0.001483
RLOut,0.201942,0.008681
SensoryOut,0.436376,0.014003
LanguageOut,0.000635,0.003073
ArticulateOut,0.196921,0.002504
NeglectOut,0.061028,0.002337
MRS1,0.118996,0.007272
BI1,0.216789,0.012331
FOIS1,0.036656,0.006293
MNA1,0.111456,0.000012
EuroQoL5D1,0.022788,0.000618
IADL1,0.320540,0.010887
BBS1,0.523052,0.021677
FuglUE1,0.284534,0.009284
FuglSEN1,0.518780,0.017923
CCAT1,0.541513,0.041822
6MWT1,0.272693,0.012879
Gait_Speed_1,0.200988,0.012764
