Metric,Value
N (total),633.0
N completers,577.0
N non-completers,56.0
Completion rate (%),91.2
IPCW weight mean,0.9843
IPCW weight SD,0.1203
IPCW weight min,0.8871
IPCW weight max,1.6155
Effective sample size (ESS),568.5
N covariates SMD>0.1 pre-IPCW,43.0
N covariates SMD>0.1 post-IPCW,0.0
Max SMD post-IPCW,0.0421
6MWT4 model: IPCW WLS CV-R²,0.5015
6MWT4 model: IPCW WLS RMSE,102.5
6MWT4 model: IPCW WLS MAE,79.0
6MWT4 model: Unweighted CV-R²,0.5015
6MWT4 model: Unweighted RMSE,102.6
6MWT4 model: Unweighted MAE,79.0
Sens-1 Unstabilized IPCW CV-R²,0.5015
Sens-1 Unstabilized IPCW RMSE,102.3
Sens-1 Unstabilized IPCW MAE,78.8
Sens-2 Multiple Imputation CV-R²,0.5632
Sens-2 Multiple Imputation RMSE,94.8
Sens-2 Multiple Imputation MAE,70.9
