Metric,Value
N (total),633.0
N completers,577.0
N non-completers,56.0
Completion rate (%),91.2
IPCW weight mean,0.9879
IPCW weight SD,0.1295
IPCW weight min,0.8862
IPCW weight max,1.7205
Effective sample size (ESS),567.3
N covariates SMD>0.1 pre-IPCW,41.0
N covariates SMD>0.1 post-IPCW,0.0
Max SMD post-IPCW,0.0418
6MWT4 model: IPCW WLS CV-R²,0.4668
6MWT4 model: IPCW WLS RMSE,104.4
6MWT4 model: IPCW WLS MAE,79.9
6MWT4 model: Unweighted CV-R²,0.4668
6MWT4 model: Unweighted RMSE,104.3
6MWT4 model: Unweighted MAE,79.5
Sens-1 Unstabilized IPCW CV-R²,0.4668
Sens-1 Unstabilized IPCW RMSE,104.3
Sens-1 Unstabilized IPCW MAE,79.7
Sens-2 Multiple Imputation CV-R²,0.5342
Sens-2 Multiple Imputation RMSE,96.3
Sens-2 Multiple Imputation MAE,71.2
