delta,mean_shift_population_mean,pattern_mixture_mi_pooled_mean,pattern_mixture_mi_pooled_se,abs_diff_m,discrepancy_gt_5m
0,313.23684816928227,313.4779054408549,18.95193346817932,0.2410572715726289,False
5,312.79451009661244,313.3634868417988,18.98961517251002,0.5689767451863759,False
10,312.3521720239426,313.24906824274274,19.02776338092548,0.8968962188001228,False
15,311.9098339512728,313.1346496436867,19.066375293266763,1.2248156924139266,False
20,311.46749587860296,313.02023104463063,19.10544809811161,1.5527351660276736,False
25,311.02515780593313,312.90581244557455,19.144978973566886,1.8806546396414205,False
30,310.5828197332633,312.79139384651853,19.184965088051072,2.2085741132552243,False
35,310.1404816605935,312.67697524746245,19.225403601066414,2.5364935868689713,False
40,309.69814358792365,312.56255664840637,19.26629166396053,2.8644130604827183,False
45,309.2558055152538,312.4481380493503,19.30762642067717,3.1923325340964652,False
50,308.813467442584,312.3337194502942,19.34940500849589,3.520252007710212,False
55,308.3711293699142,312.21930085123813,19.39162455876039,3.848171481323959,False
60,307.92879129724435,312.10488225218205,19.434282197595337,4.176090954937706,False
65,307.4864532245745,311.99046365312597,19.477375046611428,4.504010428551453,False
70,307.0441151519047,311.87604505406995,19.52090022359857,4.831929902165257,False
75,306.60177707923486,311.76162645501387,19.564854843206952,5.159849375779004,True
80,306.15943900656504,311.64720785595784,19.609236017615903,5.487768849392808,True
85,305.7171009338952,311.53278925690176,19.654040857190402,5.815688323006555,True
90,305.2747628612254,311.4183706578457,19.699266471125092,6.1436077966203015,True
95,304.83242478855556,311.3039520587896,19.744909968075707,6.4715272702340485,True
100,304.39008671588573,311.1895334597335,19.790968456777854,6.7994467438477955,True
105,303.9477486432159,311.0751148606775,19.837439046653053,7.127366217461599,True
110,303.5054105705461,310.9606962616214,19.88431884840195,7.455285691075346,True
115,303.06307249787625,310.8462776625654,19.9316049745847,7.78320516468915,True
120,302.6207344252064,310.7318590635093,19.979294540188466,8.111124638302897,True
125,302.1783963525366,310.61744046445324,20.02738466318202,8.439044111916644,True
130,301.73605827986677,310.50302186539716,20.07587246505742,8.766963585530391,True
135,301.29372020719694,310.3886032663411,20.1247550713588,9.094883059144138,True
140,300.8513821345271,310.274184667285,20.17402961219823,9.422802532757885,True
145,300.4090440618573,310.1597660682289,20.223693222758772,9.750722006371632,True
150,299.96670598918746,310.04534746917284,20.27374304378463,10.078641479985379,True
