delta,mean_shift_population_mean,pattern_mixture_mi_pooled_mean,pattern_mixture_mi_pooled_se,abs_diff_m,discrepancy_gt_5m
0,313.73292889098997,312.58499471214583,19.08494041712742,1.1479341788441388,False
5,313.29059081832014,312.48179907579515,19.13077986349041,0.8087917425249884,False
10,312.8482527456503,312.3786034394445,19.176961402271417,0.469649306205838,False
15,312.4059146729805,312.2754078030938,19.22348256799314,0.13050686988668758,False
20,311.96357660031066,312.17221216674324,19.270340900941942,0.20863556643257652,False
25,311.52123852764083,312.0690165303925,19.317533947529295,0.5477780027516701,False
30,311.078900454971,311.9658208940418,19.365059260643342,0.8869204390708205,False
35,310.63656238230124,311.8626252576912,19.412914399990566,1.226062875389971,False
40,310.1942243096314,311.75942962134053,19.461096932427655,1.5652053117091214,False
45,309.7518862369616,311.65623398498985,19.509604432283606,1.9043477480282718,False
50,309.30954816429175,311.55303834863923,19.55843448167225,2.243490184347479,False
55,308.8672100916219,311.44984271228856,19.607584670795205,2.5826326206666295,False
60,308.4248720189521,311.3466470759379,19.657052598235357,2.92177505698578,False
65,307.9825339462823,311.2434514395872,19.706835871240987,3.2609174933049303,False
70,307.54019587361245,311.1402558032366,19.75693210600069,3.6000599296241376,False
75,307.0978578009426,311.0370601668859,19.807338927909072,3.939202365943288,False
80,306.6555197282728,310.9338645305353,19.858053971823487,4.278344802262495,False
85,306.21318165560297,310.8306688941846,19.909074882311785,4.617487238581646,False
90,305.77084358293314,310.727473257834,19.96039931389131,4.956629674900853,False
95,305.3285055102633,310.6242776214833,20.01202493125916,5.295772111220003,True
100,304.8861674375935,310.52108198513264,20.063949409513942,5.634914547539154,True
105,304.44382936492366,310.417886348782,20.11617043436903,5.974056983858361,True
110,304.00149129225383,310.31469071243134,20.168685702357536,6.3131994201775115,True
115,303.559153219584,310.2114950760806,20.221492921029128,6.652341856496605,True
120,303.1168151469142,310.10829943973,20.274589809138735,6.991484292815812,True
125,302.67447707424435,310.0051038033793,20.32797409682736,7.330626729134963,True
130,302.2321390015745,309.90190816702864,20.381643525795145,7.669769165454113,True
135,301.7898009289047,309.798712530678,20.435595849466715,8.00891160177332,True
140,301.34746285623487,309.69551689432734,20.48982883314906,8.34805403809247,True
145,300.90512478356504,309.5923212579767,20.544340254182,8.687196474411678,True
150,300.4627867108952,309.48912562162604,20.599127902081438,9.026338910730829,True
