scenario,threshold_type,threshold_value,citation_label,delta_tip,true_mean_at_tip,plausibility_flag
pmis_noncompleters_56_633,change_based_mcid_general_low,14.0,Bohannon_Crouch_MCID_low,158.25,94.897,clinically_implausible_below_fac2_mean
pmis_noncompleters_56_633,change_based_mcid_general_high,30.5,Bohannon_Crouch_MCID_high,344.759,-91.612,physically_impossible_below_0m
pmis_noncompleters_56_633,change_based_mcid_neuro_musculoskeletal,37.0,Daynes_MetaAnalysis_MID_neuro_msk,418.232,-165.085,physically_impossible_below_0m
pmis_noncompleters_56_633,change_based_mic_stroke_subacute_low,63.0,Kubo_2022_MIC_low,712.125,-458.978,physically_impossible_below_0m
pmis_noncompleters_56_633,change_based_mic_stroke_subacute_high,83.0,Kubo_2022_MIC_high,938.196,-685.049,physically_impossible_below_0m
pmis_noncompleters_56_633,absolute_distance_cutoff_independence_kubo,304.0,Kubo_2022_FAC_independence_cutoff,110.017,143.13,within_observed_range_clinically_plausible
pmis_noncompleters_56_633,absolute_distance_cutoff_community_blennerhassett,367.0,Blennerhassett_community_ambulation_cutoff,-602.108,855.255,within_observed_range_clinically_plausible
pmis_noncompleters_56_633,absolute_distance_cutoff_fac3_to_fac4_lee,99.35,Lee_FAC3_to_FAC4_cutoff,2423.293,-2170.146,physically_impossible_below_0m
pmis_all_missing,change_based_mcid_general_low,14.0,Bohannon_Crouch_MCID_low,72.639,161.069,within_observed_range_clinically_plausible
pmis_all_missing,change_based_mcid_general_high,30.5,Bohannon_Crouch_MCID_high,158.25,75.458,clinically_implausible_below_fac2_mean
pmis_all_missing,change_based_mcid_neuro_musculoskeletal,37.0,Daynes_MetaAnalysis_MID_neuro_msk,191.975,41.732,clinically_implausible_below_fac2_mean
pmis_all_missing,change_based_mic_stroke_subacute_low,63.0,Kubo_2022_MIC_low,326.877,-93.169,physically_impossible_below_0m
pmis_all_missing,change_based_mic_stroke_subacute_high,83.0,Kubo_2022_MIC_high,430.648,-196.94,physically_impossible_below_0m
pmis_all_missing,absolute_distance_cutoff_independence_kubo,304.0,Kubo_2022_FAC_independence_cutoff,-4.897,238.605,within_observed_range_clinically_plausible
pmis_all_missing,absolute_distance_cutoff_community_blennerhassett,367.0,Blennerhassett_community_ambulation_cutoff,-331.774,565.482,within_observed_range_clinically_plausible
pmis_all_missing,absolute_distance_cutoff_fac3_to_fac4_lee,99.35,Lee_FAC3_to_FAC4_cutoff,1056.935,-823.227,physically_impossible_below_0m
